;values
1960-01-01;0.71
1960-04-01;0.63
1960-07-01;0.85
1960-10-03;0.44
1961-01-02;0.61
1961-04-03;0.69
1961-07-03;0.92
1961-10-02;0.55
1962-01-01;0.72
1962-04-02;0.77
1962-07-02;0.92
1962-10-01;0.6
1963-01-01;0.83
1963-04-01;0.8
1963-07-01;1.0
1963-10-01;0.77
1964-01-01;0.92
1964-04-01;1.0
1964-07-01;1.24
1964-10-01;1.0
1965-01-01;1.16
1965-04-01;1.3
1965-07-01;1.45
1965-10-01;1.25
1966-01-03;1.26
1966-04-01;1.38
1966-07-01;1.86
1966-10-03;1.56
1967-01-02;1.53
1967-04-03;1.59
1967-07-03;1.83
1967-10-02;1.86
1968-01-01;1.53
1968-04-01;2.07
1968-07-01;2.34
1968-10-01;2.25
1969-01-01;2.16
1969-04-01;2.43
1969-07-01;2.7
1969-10-01;2.25
1970-01-01;2.79
1970-04-01;3.42
1970-07-01;3.69
1970-10-01;3.6
1971-01-01;3.6
1971-04-01;4.32
1971-07-01;4.32
1971-10-01;4.05
1972-01-03;4.86
1972-04-03;5.04
1972-07-03;5.04
1972-10-02;4.41
1973-01-01;5.58
1973-04-02;5.85
1973-07-02;6.57
1973-10-01;5.31
1974-01-01;6.03
1974-04-01;6.39
1974-07-01;6.93
1974-10-01;5.85
1975-01-01;6.93
1975-04-01;7.74
1975-07-01;7.83
1975-10-01;6.12
1976-01-01;7.74
1976-04-01;8.91
1976-07-01;8.28
